state_code,state_slug,state_name,climate_profile,adjustment_factor,modeled_adjustment_percent,local_pressure,editorial_note,state_guide_url,warrantyindex_url
HI,hawaii,Hawaii,Tropical marine,0.92,-8,"Humidity, salt air and parts distance","Salt and moisture can accelerate corrosion, while replacement parts may take longer to arrive.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/hawaii,https://warrantyindex.com/hawaii/
ID,idaho,Idaho,Dry with cold winters,1.03,3,Hard water and cold cycles,"The dry climate is relatively kind to cabinets and controls, but scale needs attention.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/idaho,https://warrantyindex.com/idaho/
IL,illinois,Illinois,Four seasons,1,0,"Heat, cold and humid summers",A balanced but changeable climate makes indoor placement and maintenance decisive.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/illinois,https://warrantyindex.com/illinois/
IN,indiana,Indiana,Four seasons,1,0,Humidity and seasonal swings,"No single climate stress dominates, though damp basements can shorten electronic life.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/indiana,https://warrantyindex.com/indiana/
IA,iowa,Iowa,Continental,1.01,1,Cold winters and humid summers,Seasonal swings matter most for machines placed in garages or unfinished rooms.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/iowa,https://warrantyindex.com/iowa/
KS,kansas,Kansas,Windy and continental,0.99,-1,Heat and hard water,"Hot summers raise cooling loads, while mineral conditions vary widely by water system.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/kansas,https://warrantyindex.com/kansas/
KY,kentucky,Kentucky,Warm and humid,0.97,-3,Moisture and summer heat,"Humidity adds corrosion pressure, especially in basements and poorly vented laundry rooms.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/kentucky,https://warrantyindex.com/kentucky/
LA,louisiana,Louisiana,Hot and very humid,0.91,-9,"Heat, moisture and flood exposure",Heavy cooling demand and damp air make installation and ventilation unusually important.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/louisiana,https://warrantyindex.com/louisiana/
ME,maine,Maine,Cold coastal,1.03,3,Cold cycles and coastal moisture,"Cool indoor conditions help refrigerators, although coastal air and remote service can offset the gain.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/maine,https://warrantyindex.com/maine/
MD,maryland,Maryland,Humid four seasons,0.98,-2,Humid summers and coastal air,"Moderate stress overall, with more corrosion pressure close to the Chesapeake.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/maryland,https://warrantyindex.com/maryland/
MA,massachusetts,Massachusetts,Four seasons,1.01,1,Cold winters and humid summers,Indoor placement is usually more important than statewide climate.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/massachusetts,https://warrantyindex.com/massachusetts/
MI,michigan,Michigan,Cool and humid,1.02,2,Cold cycles and damp basements,"Cool rooms reduce refrigeration work, while damp lower levels can trouble controls and cabinets.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/michigan,https://warrantyindex.com/michigan/
MN,minnesota,Minnesota,Cold continental,1.03,3,Severe cold and seasonal swings,"Conditioned indoor rooms are gentle, but unheated garages can expose machines to punishing cycles.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/minnesota,https://warrantyindex.com/minnesota/
MS,mississippi,Mississippi,Hot and humid,0.93,-7,Heat and persistent moisture,Long cooling seasons and damp air add load across refrigeration and laundry.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/mississippi,https://warrantyindex.com/mississippi/
MO,missouri,Missouri,Continental,0.99,-1,Hot summers and cold winters,Wide seasonal swings make garages and unfinished rooms less friendly than the kitchen.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/missouri,https://warrantyindex.com/missouri/
MT,montana,Montana,Cold and dry,1.04,4,Cold cycles and service distance,"Dry indoor air is favourable, though rural parts and service access can change repair decisions.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/montana,https://warrantyindex.com/montana/
NE,nebraska,Nebraska,Continental and dry,1.01,1,"Heat, cold and hard water","The climate is moderate for indoor machines, while local water chemistry deserves attention.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/nebraska,https://warrantyindex.com/nebraska/
NV,nevada,Nevada,Hot and very dry,0.96,-4,Extreme heat and mineral scale,"Dry air limits corrosion, but hot rooms and hard water can erase that advantage.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/nevada,https://warrantyindex.com/nevada/
NH,new-hampshire,New Hampshire,Cold four seasons,1.03,3,Cold winters and service distance,"Cool conditions are generally kind to refrigeration, provided machines stay in conditioned rooms.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/new-hampshire,https://warrantyindex.com/new-hampshire/
NJ,new-jersey,New Jersey,Humid coastal,0.98,-2,"Humidity, salt air and dense use","Coastal moisture raises corrosion pressure, while strong service coverage often helps repairability.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/new-jersey,https://warrantyindex.com/new-jersey/
NM,new-mexico,New Mexico,Hot and dry,0.98,-2,Heat and hard water,"Dry air helps electronics, while mineral scale and hot utility rooms remain the main concerns.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/new-mexico,https://warrantyindex.com/new-mexico/
NY,new-york,New York,Mixed four seasons,1,0,Wide regional variation,"A city apartment, a coastal home and an upstate garage create very different appliance lives.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/new-york,https://warrantyindex.com/new-york/
NC,north-carolina,North Carolina,Warm and humid,0.96,-4,Humidity and long cooling seasons,"Moist air and warm utility spaces add steady stress, especially toward the coast.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/north-carolina,https://warrantyindex.com/north-carolina/
ND,north-dakota,North Dakota,Cold and dry,1.04,4,Severe cold and rural service,"Indoor air is favourable, but unconditioned spaces and service distance can dominate the outcome.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/north-dakota,https://warrantyindex.com/north-dakota/
OH,ohio,Ohio,Humid four seasons,1,0,Damp basements and seasonal swings,Moist lower levels can be harder on cabinets and controls than the statewide climate suggests.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/ohio,https://warrantyindex.com/ohio/
OK,oklahoma,Oklahoma,Hot and changeable,0.97,-3,"Heat, storms and hard water","Hot summers increase cooling work, with water chemistry adding local variation.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/oklahoma,https://warrantyindex.com/oklahoma/
OR,oregon,Oregon,Mild and damp,1.01,1,Moisture west of the Cascades,"Mild temperatures help, though damp garages and laundry spaces still need airflow.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/oregon,https://warrantyindex.com/oregon/
PA,pennsylvania,Pennsylvania,Four seasons,1,0,Humidity and temperature swings,A middle-of-the-road profile where maintenance and service access remain the larger variables.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/pennsylvania,https://warrantyindex.com/pennsylvania/
RI,rhode-island,Rhode Island,Humid coastal,0.98,-2,Salt air and moisture,Coastal corrosion is the clearest environmental concern for exposed cabinets and connections.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/rhode-island,https://warrantyindex.com/rhode-island/
SC,south-carolina,South Carolina,Hot and humid,0.94,-6,"Heat, moisture and coastal salt",Long cooling seasons and damp air raise workload and corrosion pressure.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/south-carolina,https://warrantyindex.com/south-carolina/
SD,south-dakota,South Dakota,Cold and dry,1.03,3,Temperature extremes,"Conditioned interiors are favourable, while garages expose machines to a much harsher curve.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/south-dakota,https://warrantyindex.com/south-dakota/
TN,tennessee,Tennessee,Warm and humid,0.96,-4,Humidity and hot summers,Ventilation and room temperature matter across laundry and refrigeration.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/tennessee,https://warrantyindex.com/tennessee/
TX,texas,Texas,Hot and varied,0.93,-7,"Heat, long run times and hard water","A hot garage can be punishing for refrigeration, while mineral scale is common in many metros.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/texas,https://warrantyindex.com/texas/
UT,utah,Utah,Dry with cold winters,1,0,Hard water and heat,"Low humidity is helpful, but mineral scale is a serious maintenance variable.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/utah,https://warrantyindex.com/utah/
VT,vermont,Vermont,Cold and humid,1.03,3,Cold cycles and rural service,"Cool indoor rooms help refrigeration, with service access more likely to affect the end decision.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/vermont,https://warrantyindex.com/vermont/
VA,virginia,Virginia,Humid four seasons,0.98,-2,Humid summers and regional variation,"Coastal and mountain conditions differ, leaving placement and maintenance as the safer guide.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/virginia,https://warrantyindex.com/virginia/
WA,washington,Washington,Mild and damp,1.01,1,Moisture west of the Cascades,"Moderate temperatures are favourable, but enclosed damp spaces need ventilation.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/washington,https://warrantyindex.com/washington/
WV,west-virginia,West Virginia,Humid and mountainous,0.99,-1,Moisture and service distance,Damp rooms and access to specialist service can matter more than temperature.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/west-virginia,https://warrantyindex.com/west-virginia/
WI,wisconsin,Wisconsin,Cold continental,1.03,3,Cold cycles and humid summers,"Indoor machines get a gentle temperature profile, while garage installations do not.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/wisconsin,https://warrantyindex.com/wisconsin/
WY,wyoming,Wyoming,Cold and dry,1.04,4,Dry air and remote service,"The climate is relatively kind indoors, with distance to parts and labour the larger concern.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/wyoming,https://warrantyindex.com/wyoming/
